area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_inr,price_per_sqft
Super built-up  Area,Ready To Move,Cv Raman Nagar,2 Bedroom,901.0,2.0,1.0,68.49,2,6848999.999999999,7601.5538290788
Super built-up  Area,19-Mar,Koramangala,3 BHK,1584.32,3.0,2.0,175.42,3,17542000.0,11072.258129670774
Super built-up  Area,Ready To Move,Hennur,2 BHK,1337.0,3.0,1.0,67.72,2,6772000.0,5065.07105459985
Super built-up  Area,Ready To Move,Jayanagar,1 BHK,602.37,1.0,0.0,60.69,1,6069000.0,10075.202948354001
Super built-up  Area,Ready To Move,Jp Nagar,3 BHK,1916.0,3.0,0.0,148.79,3,14879000.0,7765.657620041754
Super built-up  Area,Ready To Move,Subramanyapura Enclave,2 BHK,1067.0,2.0,1.0,38.01,2,3801000.0,3562.3242736644797
Super built-up  Area,19-Mar,Basavanagudi,3 BHK,2204.26,3.0,2.0,244.57,3,24457000.0,11095.333581337954
Built-up  Area,Ready To Move,Kr Puram,2 BHK,1314.87,2.0,1.0,62.29,2,6229000.0,4737.350460501799
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1504.0,2.0,2.0,66.1,3,6609999.999999999,4394.946808510637
Carpet  Area,18-Jun,Nagarbhavi Main Road,5 BHK,2013.02,4.0,0.0,104.26,5,10426000.0,5179.282868525896
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1489.0,2.0,2.0,49.64,2,4964000.0,3333.781061114842
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,1831.0,3.0,0.0,155.25,3,15525000.0,8478.973238667395
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1329.0,3.0,0.0,94.22,3,9422000.0,7089.5410082769
Super built-up  Area,19-May,Koramangala,3 Bedroom,1923.0,3.0,0.0,258.25,3,25825000.0,13429.53718148726
Super built-up  Area,Ready To Move,Varthur,2 BHK,1123.5,1.0,0.0,44.77,2,4477000.0,3984.8687138406763
Super built-up  Area,Ready To Move,Pattandur Agrahara Colony,3 Bedroom,2172.0,3.0,1.0,131.39,3,13138999.999999998,6049.263351749539
Built-up  Area,Ready To Move,Cv Raman Nagar,1 BHK,568.0,1.0,0.0,36.15,1,3615000.0,6364.43661971831
Built-up  Area,Ready To Move,Jp Nagar,1 BHK,539.0,1.0,1.0,33.33,1,3333000.0,6183.673469387755
Built-up  Area,Ready To Move,Electronic City,5 BHK,2798.0,5.0,2.0,112.53,5,11253000.0,4021.8012866333097
Built-up  Area,Ready To Move,Yelahanka,2 BHK,1071.19,2.0,1.0,50.92,2,5092000.0,4753.591799774083
Super built-up  Area,Ready To Move,Malleshwaram,3 Bedroom,1711.5,4.0,3.0,159.07,3,15907000.0,9294.186386210926
Super built-up  Area,Ready To Move,Varthur,2 BHK,980.1,1.0,2.0,41.77,2,4177000.0000000005,4261.810019385777
Built-up  Area,Ready To Move,Haralur Road Colony,4 Bedroom,2815.5,4.0,1.0,265.85,4,26585000.000000004,9442.37258035873
Super built-up  Area,Ready To Move,Gottigere Phase 2,2 BHK,1377.0,2.0,1.0,123.4,2,12340000.0,8961.51053013798
Built-up  Area,Ready To Move,Indiranagar,2 BHK,850.0,2.0,0.0,74.77,2,7477000.0,8796.470588235294
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1446.0,2.0,1.0,68.59,3,6859000.0,4743.430152143845
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1920.0,2.0,2.0,71.88,3,7188000.0,3743.75
Super built-up  Area,Ready To Move,Varthur,3 BHK,1671.615,4.0,0.0,81.91,3,8191000.0,4900.051746365042
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,1891.9,4.0,1.0,110.81,4,11081000.0,5857.074898250436
Super built-up  Area,18-Dec,Rt Nagar,4 Bedroom,2172.27,4.0,2.0,141.08,4,14108000.000000002,6494.588610071493
Built-up  Area,Ready To Move,Whitefield,2 Bedroom,1332.0,2.0,2.0,86.22,2,8622000.0,6472.972972972973
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1426.0,3.0,2.0,97.08,3,9708000.0,6807.854137447405
Super built-up  Area,Ready To Move,Sarjapur Road,2 Bedroom,885.04,2.0,0.0,48.65,2,4865000.0,5496.926692578867
Built-up  Area,Ready To Move,Bellandur,3 Bedroom,1610.0,3.0,0.0,87.59,3,8759000.0,5440.372670807454
Carpet  Area,Ready To Move,Akshaya Nagar Extension,3 BHK,1454.0,3.0,0.0,68.34,3,6834000.0,4700.137551581844
Built-up  Area,Ready To Move,Hsr Layout,3 BHK,1498.93,4.0,2.0,115.36,3,11536000.0,7696.156591702081
Built-up  Area,18-Dec,Attibele Phase 1,2 BHK,1456.0,3.0,1.0,113.01,2,11301000.0,7761.675824175824
Plot  Area,Ready To Move,Marathahalli,5 BHK,3398.95,4.0,1.0,220.84,5,22084000.0,6497.300636961415
Built-up  Area,Ready To Move,Banashankari,2 BHK,1355.0,2.0,0.0,66.44,2,6644000.0,4903.321033210332
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1466.0,3.0,2.0,108.49,3,10849000.0,7400.409276944066
Super built-up  Area,Ready To Move,Yelenahalli Township,2 BHK,822.79,3.0,0.0,29.31,2,2931000.0,3562.2698379902527
Carpet  Area,18-Jun,Basavanagudi,3 BHK,1509.529336,3.0,1.0,155.89,3,15588999.999999998,10327.059983682224
Built-up  Area,Ready To Move,Rt Nagar,2 BHK,1106.0,2.0,1.0,66.73,2,6673000.0,6033.453887884268
Super built-up  Area,Ready To Move,Varthur,3 BHK,1991.17,3.0,0.0,82.7,3,8270000.0,4153.336982778969
Super built-up  Area,Ready To Move,Hsr Layout,3 BHK,1912.0,2.0,1.0,142.99,3,14299000.0,7478.556485355649
Super built-up  Area,19-Aug,Marathahalli,4 BHK,2156.00917,4.0,1.0,119.87,4,11987000.0,5559.809376877558
Plot  Area,Ready To Move,Ramamurthy Nagar Stage 2,4 BHK,1805.0,3.0,0.0,161.01,4,16101000.0,8920.2216066482
Super built-up  Area,Ready To Move,Sonnenahalli Block,4 BHK,2195.0,4.0,2.0,147.96,4,14796000.0,6740.774487471526
Carpet  Area,Ready To Move,Akshaya Nagar Layout,3 Bedroom,1486.0,3.0,3.0,133.01,3,13301000.0,8950.874831763122
Super built-up  Area,19-May,Marathahalli,3 Bedroom,2140.57,3.0,0.0,136.81,3,13681000.0,6391.288301714029
Carpet  Area,Ready To Move,Nallurhalli Main Road,4 BHK,1807.33,5.0,1.0,130.32,4,13032000.0,7210.636685054749
Super built-up  Area,Ready To Move,Hennur,5 BHK,2840.0,5.0,2.0,168.41,5,16841000.0,5929.929577464789
Built-up  Area,Ready To Move,Ambalipura Phase 2,2 BHK,1049.5,1.0,2.0,102.16,2,10216000.0,9734.159123392092
Super built-up  Area,Ready To Move,Vijayanagar,1 BHK,730.0,1.0,1.0,40.49,1,4049000.0,5546.575342465753
Plot  Area,Ready To Move,Kr Puram,3 BHK,1749.0,4.0,3.0,79.91,3,7991000.0,4568.896512292738
Built-up  Area,Ready To Move,Subramanyapura Enclave,2 Bedroom,979.0,2.0,1.0,38.39,2,3839000.0,3921.3483146067415
Super built-up  Area,Ready To Move,Hsr Layout,2 BHK,1156.5,2.0,0.0,86.62,2,8662000.0,7489.840034587116
Super built-up  Area,Ready To Move,Kumaraswamy Layout Stage 2,4 BHK,2362.0,4.0,3.0,193.4,4,19340000.0,8187.976291278577
Super built-up  Area,Ready To Move,Singasandra Nagar,3 BHK,1599.0,3.0,1.0,124.06,3,12406000.0,7758.599124452783
Built-up  Area,Ready To Move,Koramangala,2 BHK,1368.0,3.0,2.0,178.98,2,17898000.0,13083.333333333334
Carpet  Area,Ready To Move,Yelahanka,2 BHK,1337.0,2.0,0.0,58.27,2,5827000.0,4358.264771877337
Super built-up  Area,Ready To Move,Hennur,1 BHK,736.0,1.0,0.0,42.09,1,4209000.0,5718.75
Super built-up  Area,19-May,Chandapura Extension,5 BHK,3088.18,4.0,2.0,340.38,5,34038000.0,11022.025918178346
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1542.5,3.0,3.0,101.84,3,10184000.0,6602.2690437601295
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1385.7525,3.0,1.0,83.13,3,8313000.0,5998.906731180351
Super built-up  Area,Ready To Move,Indiranagar,4 BHK,1812.0960000000002,5.0,2.0,228.68,4,22868000.0,12619.64046054955
Super built-up  Area,19-May,Yeshwanthpur,5 BHK,3237.0,6.0,1.0,180.19,5,18019000.0,5566.573988260735
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1002.0,2.0,2.0,74.22,2,7422000.0,7407.185628742515
Super built-up  Area,Ready To Move,Bannerghatta Road,2 Bedroom,1279.66,3.0,1.0,56.75,2,5675000.0,4434.771736242439
Super built-up  Area,19-May,Marathahalli,2 BHK,1293.7320000000002,3.0,2.0,90.62,2,9062000.0,7004.541898940429
Super built-up  Area,18-Dec,Bellandur,2 BHK,1396.0,1.0,1.0,91.66,2,9166000.0,6565.902578796562
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1039.0,1.0,2.0,49.1,2,4910000.0,4725.697786333012
Super built-up  Area,Ready To Move,Kengeri,1 BHK,304.0,1.0,2.0,13.83,1,1383000.0,4549.3421052631575
Super built-up  Area,19-May,Rt Nagar,4 Bedroom,1856.8,4.0,0.0,104.96,4,10496000.0,5652.735889702714
Super built-up  Area,19-Aug,Varthur,2 BHK,1418.47,2.0,0.0,67.77,2,6777000.0,4777.6829964680255
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,2554.02,3.0,0.0,309.66,4,30966000.000000004,12124.415627128998
Super built-up  Area,Ready To Move,Nallurhalli Nagar,1 BHK,645.87,1.0,3.0,28.55,1,2855000.0,4420.394196974623
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1082.0,1.0,2.0,61.73,2,6173000.0,5705.1756007393715
Super built-up  Area,Ready To Move,Singasandra Main Road,3 BHK,1414.7,3.0,2.0,95.51,3,9551000.0,6751.254682971655
Super built-up  Area,Ready To Move,Hennur,3 BHK,2186.0,4.0,2.0,111.97,3,11197000.0,5122.140896614822
Plot  Area,Ready To Move,Btm Layout,2 BHK,1221.0,2.0,3.0,82.22,2,8222000.0,6733.824733824734
Built-up  Area,Ready To Move,Electronic City,3 BHK,1556.0,3.0,2.0,61.23,3,6123000.0,3935.089974293059
Plot  Area,Ready To Move,Bellandur,2 BHK,1089.0,2.0,1.0,76.88,2,7688000.0,7059.687786960514
Super built-up  Area,Ready To Move,Gunjur Colony,4 BHK,2204.0,3.0,1.0,98.99,4,9899000.0,4491.379310344828
Super built-up  Area,Ready To Move,Btm Layout,3 Bedroom,1839.57,3.0,3.0,122.01,3,12201000.0,6632.528253885419
Super built-up  Area,Ready To Move,Talaghattapura Stage 2,3 BHK,1660.725,3.0,3.0,144.36,3,14436000.000000002,8692.589080070453
Super built-up  Area,Ready To Move,Frazer Town,4 Bedroom,2163.0,4.0,1.0,181.0,4,18100000.0,8368.007397133611
Super built-up  Area,Ready To Move,Cv Raman Nagar,2 BHK,1198.12,2.0,0.0,70.38,2,7038000.0,5874.202917904718
Plot  Area,Ready To Move,Indiranagar,3 Bedroom,2216.0,3.0,2.0,260.73,3,26073000.0,11765.794223826715
Super built-up  Area,Ready To Move,Cv Raman Nagar,1 BHK,482.75,1.0,3.0,30.73,1,3073000.0,6365.613671672709
Super built-up  Area,19-Mar,Bellandur,2 BHK,1230.65,3.0,2.0,70.34,2,7034000.0,5715.67870637468
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,1224.0,2.0,1.0,114.72,2,11472000.0,9372.549019607843
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1951.5,2.0,1.0,120.01,3,12001000.0,6149.6284909044325
Built-up  Area,19-Mar,Yeshwanthpur,2 BHK,1244.0,2.0,1.0,81.93,2,8193000.000000001,6586.012861736335
Built-up  Area,Ready To Move,Gottigere Phase 2,3 BHK,1814.9011790000002,4.0,2.0,144.2,3,14419999.999999998,7945.336179651023
Built-up  Area,Ready To Move,Thanisandra Phase 2,4 BHK,2241.0,4.0,2.0,84.97,4,8497000.0,3791.6108879964304
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1674.0,3.0,1.0,106.1,3,10610000.0,6338.112305854242
Built-up  Area,Ready To Move,Talaghattapura Stage 2,1 BHK,507.0,2.0,0.0,55.06,1,5506000.0,10859.960552268245
Super built-up  Area,Ready To Move,Hebbal,6 BHK,2659.0,7.0,1.0,211.65,6,21165000.0,7959.75930801053
Super built-up  Area,Ready To Move,Electronic City,1 BHK,871.2,1.0,0.0,29.57,1,2957000.0,3394.1689623507805
Super built-up  Area,Ready To Move,Talaghattapura Stage 2,1 BHK,639.0,1.0,0.0,60.04,1,6004000.0,9395.931142410016
Built-up  Area,Ready To Move,Sarjapur Road,5 BHK,2905.0,5.0,3.0,161.87,5,16187000.0,5572.117039586919
Super built-up  Area,Ready To Move,Pattandur Agrahara Phase 2,1 BHK,503.0,1.0,2.0,24.59,1,2459000.0,4888.667992047714
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,888.0,2.0,2.0,54.14,2,5414000.0,6096.846846846847
Super built-up  Area,Ready To Move,Hsr Layout,1 BHK,617.5,2.0,3.0,49.49,1,4949000.0,8014.574898785425
Built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,620.5,2.0,2.0,42.03,1,4203000.0,6773.569701853344
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,895.0,1.0,0.0,43.86,2,4386000.0,4900.558659217877
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1591.0,2.0,2.0,66.93,3,6693000.000000001,4206.788183532371
Plot  Area,Ready To Move,Btm Layout,2 BHK,1322.0,3.0,2.0,96.49,2,9649000.0,7298.789712556732
Super built-up  Area,Ready To Move,Gunjur Gardens,2 BHK,1073.33,2.0,2.0,37.49,2,3749000.0,3492.867990273262
Super built-up  Area,Ready To Move,Horamavu Stage 2,3 BHK,1711.0,4.0,3.0,188.06,3,18806000.0,10991.233196960842
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1858.9255299999998,3.0,3.0,113.87,3,11387000.0,6125.581587983248
Super built-up  Area,18-Dec,Hennur,2 Bedroom,1176.1200000000001,3.0,3.0,69.75,2,6975000.0,5930.5172941536575
Super built-up  Area,Ready To Move,Bellandur,1 Bedroom,635.976,1.0,1.0,44.07,1,4407000.0,6929.506773840522
Super built-up  Area,Ready To Move,Marathahalli,5 BHK,2868.0,5.0,0.0,167.71,5,16771000.0,5847.629009762901
Super built-up  Area,Ready To Move,Horamavu Nagar,4 BHK,2814.0,4.0,0.0,108.81,4,10881000.0,3866.7377398720682
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1249.5,2.0,3.0,63.63,2,6363000.0,5092.436974789916
Carpet  Area,Ready To Move,Btm Layout,3 BHK,2020.0,3.0,0.0,130.89,3,13088999.999999998,6479.7029702970285
Plot  Area,Ready To Move,Hennur,3 BHK,1518.0,3.0,2.0,85.33,3,8533000.0,5621.212121212121
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,1006.95,2.0,1.0,127.98,2,12798000.0,12709.667808729331
Super built-up  Area,Ready To Move,Akshaya Nagar Layout,3 BHK,1461.65,3.0,2.0,133.45,3,13344999.999999998,9130.092703451577
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1403.0,2.0,2.0,87.89,2,8789000.0,6264.433357091946
Super built-up  Area,18-Dec,Kr Puram,2 Bedroom,848.625876,3.0,1.0,36.81,2,3681000.0,4337.600471659433
Carpet  Area,Ready To Move,Koramangala,1 BHK,508.27,1.0,2.0,69.62,1,6962000.0,13697.444271745333
Built-up  Area,Ready To Move,Koramangala,2 BHK,1179.0,2.0,1.0,176.12,2,17612000.0,14938.083121289228
Plot  Area,Ready To Move,Malleshwaram,3 BHK,2050.5,3.0,0.0,162.43,3,16243000.0,7921.482565227993
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2032.18,4.0,1.0,104.56,4,10456000.0,5145.213514550876
Super built-up  Area,19-Aug,Basavanagudi,2 BHK,1381.0,3.0,2.0,131.48,2,13147999.999999998,9520.637219406226
Super built-up  Area,Ready To Move,Varthur,4 BHK,2736.5,3.0,2.0,147.57,4,14757000.0,5392.654851087155
Plot  Area,18-Jun,Gunjur Nagar,3 BHK,2178.0,3.0,2.0,101.55,3,10155000.0,4662.534435261708
Super built-up  Area,Ready To Move,Electronic City,6 BHK,3255.0,6.0,0.0,130.75,6,13075000.0,4016.8970814132103
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1218.5,2.0,0.0,73.74,2,7373999.999999999,6051.702913418137
Super built-up  Area,19-May,Btm Layout,3 BHK,1635.682244,4.0,2.0,115.24,3,11524000.0,7045.378185324362
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,2 Bedroom,1040.0,2.0,0.0,40.06,2,4006000.0,3851.923076923077
Super built-up  Area,Ready To Move,Other,3 BHK,1337.0,3.0,0.0,123.72,3,12372000.0,9253.55272999252
Carpet  Area,Ready To Move,Cv Raman Nagar,3 BHK,1610.5,3.0,2.0,111.87,3,11187000.0,6946.289972058367
Plot  Area,Ready To Move,Electronic City,3 BHK,1797.0,4.0,3.0,78.73,3,7873000.0,4381.190873678353
Super built-up  Area,Ready To Move,Hsr Layout,1 BHK,593.0,1.0,0.0,50.37,1,5037000.0,8494.097807757167
Plot  Area,Ready To Move,Varthur,3 BHK,2121.0,4.0,0.0,88.21,3,8821000.0,4158.887317303159
Carpet  Area,Ready To Move,Subramanyapura Main Road,3 BHK,2080.86,3.0,2.0,132.07,3,13207000.0,6346.895033784108
Super built-up  Area,Ready To Move,Begur Gardens,3 BHK,2027.0,4.0,1.0,213.93,3,21393000.0,10554.02072027627
Built-up  Area,Ready To Move,Thanisandra Phase 1,2 BHK,1135.0,2.0,3.0,39.19,2,3919000.0,3452.863436123348
Super built-up  Area,19-Aug,Bellandur,3 BHK,1522.73,4.0,0.0,109.01,3,10901000.0,7158.852849815791
Super built-up  Area,19-Mar,Hebbal,2 BHK,1132.56,1.0,0.0,72.33,2,7233000.0,6386.416613689341
Built-up  Area,19-May,Bellandur,4 BHK,2587.0,3.0,1.0,154.65,4,15465000.0,5977.966756861229
Built-up  Area,Ready To Move,Sarjapur Road,4 BHK,1794.0,4.0,2.0,112.25,4,11225000.0,6256.967670011149
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1854.0,2.0,3.0,75.57,3,7556999.999999999,4076.0517799352747
Super built-up  Area,Ready To Move,Doddakannelli Gardens,3 BHK,1951.55,2.0,0.0,83.14,3,8314000.0,4260.203428044375
Super built-up  Area,19-Mar,Gunjur Colony,2 BHK,1041.5,2.0,2.0,51.7,2,5170000.0,4963.994239078253
Super built-up  Area,Ready To Move,Jp Nagar,2 BHK,1331.0,1.0,0.0,97.21,2,9721000.0,7303.531179564237
Super built-up  Area,19-May,Mahadevapura Stage 2,2 BHK,1304.44,2.0,2.0,139.81,2,13981000.0,10718.009260678911
Super built-up  Area,Ready To Move,Jalahalli Block,1 BHK,556.0,1.0,1.0,35.67,1,3567000.0,6415.46762589928
Carpet  Area,Ready To Move,Vidyaranyapura Extension,1 BHK,590.0,1.0,0.0,34.55,1,3454999.9999999995,5855.93220338983
Super built-up  Area,19-May,Thanisandra Phase 2,3 BHK,1590.0,3.0,1.0,57.6,3,5760000.0,3622.6415094339623
Carpet  Area,19-Mar,Varthur,3 BHK,2047.0,3.0,0.0,98.03,3,9803000.0,4788.959452857841
Super built-up  Area,Ready To Move,Rajaji Nagar,2 Bedroom,895.22,1.0,3.0,75.59,2,7559000.0,8443.73450101651
Built-up  Area,Ready To Move,Electronic City,4 BHK,2184.0,3.0,0.0,103.84,4,10384000.0,4754.578754578754
Built-up  Area,Ready To Move,Sonnenahalli Stage 2,3 BHK,1432.0,4.0,1.0,123.02,3,12302000.0,8590.782122905028
Built-up  Area,Ready To Move,Kr Puram,2 BHK,1069.0,2.0,2.0,45.24,2,4524000.0,4231.992516370439
Built-up  Area,Ready To Move,Jp Nagar,2 BHK,1206.0,2.0,1.0,84.59,2,8459000.0,7014.096185737977
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1701.5625,2.0,0.0,110.04,3,11004000.0,6466.997245179064
Super built-up  Area,18-Nov,Domlur,5 BHK,3430.885486,5.0,2.0,324.63,5,32463000.0,9461.988787579137
Super built-up  Area,19-May,Basavanagudi,5 BHK,3251.24,4.0,2.0,321.15,5,32114999.999999996,9877.76971247893
Super built-up  Area,Ready To Move,Nagarbhavi Main Road,3 Bedroom,1977.0,2.0,1.0,92.45,3,9245000.0,4676.277187658068
Super built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,2245.5,5.0,1.0,95.14,4,9514000.0,4236.918281006458
Super built-up  Area,19-Mar,Rajarajeshwari Nagar Gardens,1 BHK,620.7299999999999,1.0,0.0,27.41,1,2741000.0,4415.768530601067
Built-up  Area,Ready To Move,Nallurhalli Township,3 BHK,1969.0,3.0,2.0,81.9,3,8190000.000000001,4159.471813103099
Super built-up  Area,Ready To Move,Banashankari,2 BHK,863.0,3.0,1.0,59.72,2,5972000.0,6920.046349942063
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,1051.0,2.0,0.0,83.02,2,8302000.0,7899.143672692674
Carpet  Area,Ready To Move,Frazer Town,1 Bedroom,615.0,1.0,1.0,51.06,1,5106000.0,8302.439024390244
Super built-up  Area,18-Nov,Rajaji Nagar,3 BHK,1555.55,3.0,2.0,132.29,3,13229000.0,8504.3875156697
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,899.29,2.0,0.0,38.9,2,3890000.0,4325.634667348686
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1304.81,2.0,3.0,55.41,2,5541000.0,4246.59528973567
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1374.43,3.0,2.0,66.88,3,6688000.0,4866.017185305908
Super built-up  Area,Ready To Move,Haralur Road Block,2 BHK,1240.0,2.0,2.0,137.2,2,13719999.999999998,11064.516129032256
Built-up  Area,Ready To Move,Rt Nagar,1 BHK,678.09,1.0,2.0,42.79,1,4279000.0,6310.371779557286
Super built-up  Area,Ready To Move,Cv Raman Nagar,2 BHK,977.0,2.0,1.0,74.73,2,7473000.0,7648.925281473899
Built-up  Area,19-May,Btm Layout,2 BHK,977.0,2.0,1.0,69.58,2,6958000.0,7121.801432958035
Super built-up  Area,Ready To Move,Kumaraswamy Layout Stage 2,3 Bedroom,1497.0,3.0,1.0,129.27,3,12927000.000000002,8635.270541082165
Super built-up  Area,Ready To Move,Subramanyapura Stage 2,3 BHK,2071.0,3.0,3.0,81.24,3,8123999.999999999,3922.7426364075322
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1327.0,2.0,3.0,60.48,2,6048000.0,4557.648831951771
Carpet  Area,Ready To Move,Bellandur,1 BHK,516.0,1.0,1.0,29.84,1,2984000.0,5782.945736434109
Plot  Area,18-Nov,Thanisandra Phase 2,1 BHK,679.0,1.0,1.0,25.86,1,2586000.0,3808.541973490427
Built-up  Area,Ready To Move,Domlur,3 Bedroom,1306.8,3.0,1.0,159.89,3,15988999.999999998,12235.231098867462
Super built-up  Area,18-Jun,Jayanagar,1 BHK,511.8,2.0,2.0,44.31,1,4431000.0,8657.67878077374
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1430.0,3.0,0.0,92.38,3,9238000.0,6460.1398601398605
Built-up  Area,19-May,Domlur,2 Bedroom,1170.05,2.0,2.0,120.21,2,12021000.0,10273.919917952224
Super built-up  Area,Ready To Move,Yelenahalli Township,2 BHK,1426.5900000000001,1.0,3.0,51.03,2,5103000.0,3577.0613841398017
Carpet  Area,Ready To Move,Bellandur,1 BHK,706.0,1.0,2.0,45.85,1,4585000.0,6494.334277620396
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,2191.0,4.0,1.0,143.56,3,14356000.0,6552.259242355089
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1536.0,3.0,1.0,113.51,3,11351000.0,7389.973958333333
Super built-up  Area,Ready To Move,Varthur,5 BHK,3006.0,4.0,1.0,141.67,5,14166999.999999998,4712.907518296739
Super built-up  Area,19-Aug,Varthur,3 BHK,1706.0,4.0,3.0,85.47,3,8547000.0,5009.964830011723
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1354.4,3.0,2.0,64.0,2,6400000.0,4725.339633786178
Super built-up  Area,18-Dec,Other,2 Bedroom,886.0,2.0,1.0,72.48,2,7248000.0,8180.58690744921
Super built-up  Area,Ready To Move,Chandapura Stage 2,2 BHK,1429.0,1.0,2.0,168.93,2,16893000.0,11821.553533939817
Built-up  Area,Ready To Move,Indiranagar,2 Bedroom,1343.0,2.0,1.0,142.95,2,14294999.999999998,10644.080416976916
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,1000.5,1.0,2.0,84.24,2,8424000.0,8419.790104947526
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1372.0,2.0,0.0,66.31,2,6631000.0,4833.090379008746
Super built-up  Area,Ready To Move,Varthur,5 BHK,3037.28,5.0,1.0,106.37,5,10637000.0,3502.1466575356894
Built-up  Area,19-May,Domlur,1 BHK,553.156821,1.0,2.0,66.64,1,6664000.0,12047.21653427826
Carpet  Area,Ready To Move,Bellandur,4 BHK,2813.0,4.0,1.0,193.02,4,19302000.0,6861.713473160327
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1456.06,3.0,0.0,138.84,3,13884000.0,9535.321346647803
Built-up  Area,Ready To Move,Kanakapura Road,2 Bedroom,1301.0,3.0,0.0,65.73,2,6573000.0,5052.267486548809
Super built-up  Area,Ready To Move,Hsr Layout,3 BHK,1533.0,4.0,3.0,108.84,3,10884000.0,7099.8043052837575
Super built-up  Area,Ready To Move,Hsr Layout,2 Bedroom,871.2,1.0,1.0,70.97,2,7097000.0,8146.23507805326
Super built-up  Area,19-Aug,Frazer Town,1 BHK,631.62,1.0,0.0,50.25,1,5025000.0,7955.7328773629715
Built-up  Area,Ready To Move,Kengeri,2 BHK,1097.0,3.0,0.0,39.35,2,3935000.0,3587.0556061987236
Plot  Area,Ready To Move,Btm Layout,2 BHK,1369.0,1.0,1.0,109.94,2,10994000.0,8030.679327976625
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1825.0,3.0,2.0,115.85,3,11585000.0,6347.945205479452
Super built-up  Area,Ready To Move,Bellandur,4 BHK,2554.0,3.0,1.0,144.88,4,14488000.0,5672.670321064996
Carpet  Area,Ready To Move,Sathanur Extension,2 BHK,1379.0,2.0,2.0,56.9,2,5690000.0,4126.178390137781
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1304.0,1.0,2.0,59.98,2,5998000.0,4599.693251533742
Plot  Area,Ready To Move,Jayanagar,2 BHK,989.5,3.0,1.0,88.66,2,8866000.0,8960.080848913592
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1020.3,2.0,0.0,44.18,2,4418000.0,4330.098990492992
Super built-up  Area,Ready To Move,Varthur,4 BHK,2167.0,5.0,3.0,97.01,4,9701000.0,4476.695892939548
Carpet  Area,19-Mar,Bannerghatta Road,2 BHK,1350.5,2.0,2.0,56.12,2,5612000.0,4155.497963717142
Super built-up  Area,18-Nov,Indiranagar,3 BHK,1742.4,3.0,3.0,224.15,3,22415000.0,12864.439853076216
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1793.0,3.0,1.0,79.68,3,7968000.000000001,4443.948689347463
Super built-up  Area,Ready To Move,Sathanur Gardens,4 BHK,2863.5,4.0,2.0,154.44,4,15444000.0,5393.399685699319
Super built-up  Area,Ready To Move,Btm Layout,2 BHK,951.36,2.0,0.0,44.76,2,4476000.0,4704.843592330979
